trip_id,start_time,end_time,headway_secs,exact_times
MRL_Sun_1,6:00:00,12:00:00,240,0
MRL_Sun_1,12:00:00,20:00:00,300,0
MRL_Sun_1,20:00:00,24:00:00,240,0
BRT_MonFri_0,6:00:00,7:00:00,480,0
BRT_MonFri_0,7:00:00,9:00:00,240,0
BRT_MonFri_0,9:00:00,17:00:00,480,0
BRT_MonFri_0,17:00:00,19:00:00,240,0
BRT_MonFri_0,19:00:00,24:00:00,480,0
BRT_Sat_0,6:00:00,24:00:00,360,0
BRT_Sun_0,6:00:00,24:00:00,360,0
BRT_MonFri_1,6:00:00,7:00:00,480,0
BRT_MonFri_1,7:00:00,9:00:00,240,0
BRT_MonFri_1,9:00:00,17:00:00,480,0
BRT_MonFri_1,17:00:00,19:00:00,240,0
BRT_MonFri_1,19:00:00,24:00:00,480,0
BRT_Sat_1,6:00:00,24:00:00,360,0
BRT_Sun_1,6:00:00,24:00:00,360,0
